origin,destination,departure_time,arrival_time,duration,fare,nonstop,layovers
DEN,MCI,2024-12-01T10:42:00,2024-12-01T23:59:00,PT12H17M,624.29,False,SEA
DEN,MCI,2024-12-01T21:40:00,2024-12-02T13:58:00,PT15H18M,624.29,False,SEA
DEN,MCI,2024-12-01T23:55:00,2024-12-02T09:11:00,PT8H16M,638.27,False,ORD
DEN,MCI,2024-12-01T23:55:00,2024-12-02T10:29:00,PT9H34M,638.27,False,ORD
DEN,MCI,2024-12-01T20:25:00,2024-12-02T09:11:00,PT11H46M,638.27,False,ORD
DEN,MCI,2024-12-01T20:25:00,2024-12-02T10:29:00,PT13H4M,638.27,False,ORD
DEN,MCI,2024-12-01T20:15:00,2024-12-02T15:48:00,PT18H33M,647.94,False,PDX
DEN,MCI,2024-12-01T11:58:00,2024-12-02T15:48:00,PT26H50M,647.94,False,PDX
DEN,MCI,2024-12-01T23:59:00,2024-12-02T15:48:00,PT14H49M,649.02,False,PDX
DEN,MCI,2024-12-01T09:40:00,2024-12-01T23:07:00,PT12H27M,653.78,False,MSP
DEN,MCI,2024-12-01T13:49:00,2024-12-01T23:59:00,PT9H10M,661.96,False,SEA
DEN,MCI,2024-12-01T17:42:00,2024-12-02T13:58:00,PT19H16M,667.29,False,SEA
DEN,MCI,2024-12-01T13:25:00,2024-12-01T23:07:00,PT8H42M,705.42,False,MSP
DEN,MCI,2024-12-02T06:00:00,2024-12-02T08:40:00,PT1H40M,265.92,True,None
DEN,MCI,2024-12-02T10:10:00,2024-12-02T12:50:00,PT1H40M,337.95,True,None
DEN,MCI,2024-12-02T13:28:00,2024-12-02T16:08:00,PT1H40M,337.95,True,None
DEN,MCI,2024-12-02T17:50:00,2024-12-02T20:30:00,PT1H40M,337.95,True,None
DEN,MCI,2024-12-02T21:04:00,2024-12-02T23:44:00,PT1H40M,337.95,True,None
DEN,MCI,2024-12-02T08:01:00,2024-12-02T10:51:00,PT1H50M,484.15,True,None
DEN,MCI,2024-12-02T06:00:00,2024-12-02T08:40:00,PT1H40M,265.92,True,None
DEN,MCI,2024-12-02T10:10:00,2024-12-02T12:50:00,PT1H40M,337.95,True,None
DEN,MCI,2024-12-02T13:28:00,2024-12-02T16:08:00,PT1H40M,337.95,True,None
DEN,MCI,2024-12-02T17:50:00,2024-12-02T20:30:00,PT1H40M,337.95,True,None
DEN,MCI,2024-12-02T21:04:00,2024-12-02T23:44:00,PT1H40M,337.95,True,None
DEN,MCI,2024-12-02T13:25:00,2024-12-02T19:45:00,PT5H20M,346.99,False,ORD
DEN,MCI,2024-12-02T11:15:00,2024-12-02T17:38:00,PT5H23M,346.99,False,ORD
DEN,MCI,2024-12-02T15:24:00,2024-12-02T21:55:00,PT5H31M,346.99,False,ORD
DEN,MCI,2024-12-02T07:49:00,2024-12-02T14:21:00,PT5H32M,346.99,False,ORD
DEN,MCI,2024-12-02T09:42:00,2024-12-02T17:38:00,PT6H56M,346.99,False,ORD
DEN,MCI,2024-12-02T06:05:00,2024-12-02T14:21:00,PT7H16M,346.99,False,ORD
DEN,MCI,2024-12-02T11:15:00,2024-12-02T19:45:00,PT7H30M,346.99,False,ORD
DEN,MCI,2024-12-02T13:25:00,2024-12-02T21:55:00,PT7H30M,346.99,False,ORD
DEN,MCI,2024-12-02T08:01:00,2024-12-02T10:51:00,PT1H50M,484.15,True,None
DEN,MCI,2024-12-02T13:49:00,2024-12-02T23:59:00,PT9H10M,557.69,False,SEA
DEN,MCI,2024-12-02T10:42:00,2024-12-02T23:59:00,PT12H17M,563.02,False,SEA
DEN,MCI,2024-12-02T21:40:00,2024-12-03T13:31:00,PT14H51M,563.02,False,SEA
DEN,MCI,2024-12-02T17:42:00,2024-12-03T13:31:00,PT18H49M,563.02,False,SEA
DEN,MCI,2024-12-02T20:25:00,2024-12-03T10:29:00,PT13H4M,638.27,False,ORD
DEN,MCI,2024-12-02T19:20:00,2024-12-03T10:29:00,PT14H9M,638.27,False,ORD
DEN,MCI,2024-12-02T20:15:00,2024-12-03T15:29:00,PT18H14M,647.94,False,PDX
DEN,MCI,2024-12-02T11:58:00,2024-12-03T15:29:00,PT26H31M,647.94,False,PDX
